Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year,Women_Percentage_Out_Of_All_Women,Standardized_Occupational_Category,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title,2018 SOC Code,2018 SOC Title,Standardized_Occupation_Name
Fence erectors,21258,3231.0,20708,3092.0,550,492.0,2.6,2.2,41048,2149,41146,1795,24784,121321,(X),(X),2022,0.0011100274104114032,fence erectors,47-4031.00,Fence Erectors,47-4031,Fence Erectors,fence erectors
Hazardous materials removal workers,18283,2887.0,13521,2365.0,4762,1577.0,26.0,7.2,49931,7753,52492,4342,38333,10032,(X),(X),2022,0.009610819142507459,hazardous materials removal workers,47-4041.00,Hazardous Materials Removal Workers,47-4041,Hazardous Materials Removal Workers,hazardous materials removal workers
Highway maintenance workers,65146,4732.0,64231,4680.0,915,440.0,1.4,0.7,45332,1370,45431,1344,39089,3969,(X),(X),2022,0.0018466819645935161,highway maintenance workers,47-4051.00,Highway Maintenance Workers,47-4051,Highway Maintenance Workers,highway maintenance workers
Railtrack laying and maintenance equipment operators,6113,1242.0,6073,1227.0,40,70.0,0.7,1.1,65258,7088,64954,7069,-,**,-,**,2022,8.072926621173841e-05,railtrack laying and maintenance equipment operators,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,47-4061,Rail-Track Laying and Maintenance Equipment Operators,railtrack laying and maintenance equipment operators
Septic tank servicers and sewer pipe cleaners,7298,1569.0,7065,1551.0,233,218.0,3.2,3.0,48667,8776,51338,9395,45216,14994,(X),(X),2022,0.00047024797568337624,septic tank servicers and sewer pipe cleaners,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,septic tank servicers and sewer pipe cleaners
Miscellaneous construction and related workers,34834,4211.0,33136,4002.0,1698,861.0,4.9,2.3,40408,3332,40694,3278,32062,12250,(X),(X),2022,0.0034269573506882957,miscellaneous construction and related workers,,,,,
Derrick rotary drill and service unit operators oil and gas,18191,2932.0,18043,2922.0,148,226.0,0.8,1.2,73260,13320,72891,13333,-,**,-,**,2022,0.00029869828498343216,derrick rotary drill and service unit operators oil and gas,,,,,
Excavating and loading machine and dragline operators surface mining,6566,1511.0,6325,1544.0,241,217.0,3.7,3.5,54145,6732,54124,7887,54232,22582,(X),(X),2022,0.0004863938289257239,excavating and loading machine and dragline operators surface mining,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining",47-5022,"Excavating and Loading Machine and Dragline Operators, Surface Mining",excavating and loading machine and dragline operators surface mining
Earth drillers except oil and gas,21304,2871.0,21078,2858.0,226,231.0,1.1,1.1,56774,7379,56919,7376,32335,71083,(X),(X),2022,0.00045612035409632205,earth drillers except oil and gas,47-5023.00,"Earth Drillers, Except Oil and Gas",47-5023,"Earth Drillers, Except Oil and Gas",earth drillers except oil and gas
Explosives workers ordnance handling experts and blasters,7492,1541.0,7249,1576.0,243,209.0,3.2,2.9,70883,4877,71451,4677,49495,19678,(X),(X),2022,0.0004904302922363108,explosives workers ordnance handling experts and blasters,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",47-5032,"Explosives Workers, Ordnance Handling Experts, and Blasters",explosives workers ordnance handling experts and blasters
Underground mining machine operators,41889,3477.0,41271,3470.0,618,368.0,1.5,0.9,73182,4176,73552,4300,61857,4366,(X),(X),2022,0.0012472671629713587,underground mining machine operators,,,,,
Roustabouts oil and gas,5295,1415.0,5131,1352.0,164,269.0,3.1,4.9,55734,9479,56589,7478,-,**,-,**,2022,0.0003309899914681275,roustabouts oil and gas,47-5071.00,"Roustabouts, Oil and Gas",47-5071,"Roustabouts, Oil and Gas",roustabouts oil and gas
Other extraction workers,49091,4571.0,46572,4467.0,2519,1401.0,5.1,2.8,54727,4358,54564,3651,65873,36411,(X),(X),2022,0.0050839255396842266,other extraction workers,,,,,
Installation Maintenance and Repair Occupations,4146880,42894.0,4003705,43614.0,143175,7686.0,3.5,0.2,54671,241,54928,264,46973,1928,85.5,3.5,2022,0.2889603172466412,installation maintenance and repair occupations,,,,,
Firstline supervisors of mechanics installers and repairers,225532,8986.0,208816,8785.0,16716,2260.0,7.4,1.0,71232,1299,72012,1305,61551,2627,85.5,3.9,2022,0.03373676034988548,firstline supervisors of mechanics installers and repairers,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",firstline supervisors of mechanics installers and repairers
Computer automated teller and office machine repairers,105686,6548.0,95986,6383.0,9700,1838.0,9.2,1.7,49876,1758,50540,1723,44035,2341,87.1,5.8,2022,0.019576847056346568,computer automated teller and office machine repairers,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",49-2011,"Computer, Automated Teller, and Office Machine Repairers",computer automated teller and office machine repairers
Radio and telecommunications equipment installers and repairers,137710,7875.0,129091,7956.0,8619,1707.0,6.3,1.3,61286,1254,61800,1262,45547,6712,73.7,11,2022,0.017395138636974335,radio and telecommunications equipment installers and repairers,,,,,
Avionics technicians,17554,2453.0,16393,2403.0,1161,666.0,6.6,3.8,74105,4948,75104,4357,54856,18407,(X),(X),2022,0.0023431669517957076,avionics technicians,49-2091.00,Avionics Technicians,49-2091,Avionics Technicians,avionics technicians
Electric motor power tool and related repairers,22368,3109.0,21376,3043.0,992,732.0,4.4,3.2,52983,2999,53667,3071,29200,33611,(X),(X),2022,0.002002085802051113,electric motor power tool and related repairers,49-2092.00,"Electric Motor, Power Tool, and Related Repairers",49-2092,"Electric Motor, Power Tool, and Related Repairers",electric motor power tool and related repairers
Electrical and electronics installers and repairers transportation equipment,923,502.0,923,502.0,0,210.0,0.0,17.8,51290,12054,51290,12054,-,**,-,**,2022,0.0,electrical and electronics installers and repairers transportation equipment,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",electrical and electronics installers and repairers transportation equipment
Electrical and electronics repairers industrial and utility,13922,2193.0,13411,2080.0,511,484.0,3.7,3.3,95688,5667,96087,5660,39622,92570,(X),(X),2022,0.0010313163758549583,electrical and electronics repairers commercial and industrial equipment,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",electrical and electronics repairers commercial and industrial equipment
Electrical and electronics repairers industrial and utility,13922,2193.0,13411,2080.0,511,484.0,3.7,3.3,95688,5667,96087,5660,39622,92570,(X),(X),2022,0.0010313163758549583,electrical and electronics repairers powerhouse substation and relay,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",electrical and electronics repairers powerhouse substation and relay
Electronic equipment installers and repairers motor vehicles,5866,1640.0,5701,1621.0,165,192.0,2.8,3.2,48694,4930,48905,3199,23323,1326,(X),(X),2022,0.000333008223123421,electronic equipment installers and repairers motor vehicles,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles",49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",electronic equipment installers and repairers motor vehicles
Audiovisual equipment installers and repairers,36661,4409.0,35315,4494.0,1346,782.0,3.7,2.2,49440,3374,48998,3684,55980,6142,(X),(X),2022,0.0027165398080249976,audiovisual equipment installers and repairers,49-2097.00,Audiovisual Equipment Installers and Repairers,49-2097,Audiovisual Equipment Installers and Repairers,audiovisual equipment installers and repairers
Security and fire alarm systems installers,59424,4826.0,57597,4688.0,1827,887.0,3.1,1.5,56003,1710,56185,1730,42956,17851,(X),(X),2022,0.0036873092342211517,security and fire alarm systems installers,49-2098.00,Security and Fire Alarm Systems Installers,49-2098,Security and Fire Alarm Systems Installers,security and fire alarm systems installers
Aircraft mechanics and service technicians,131694,6733.0,126061,6340.0,5633,1530.0,4.3,1.1,72525,1785,72940,1750,54569,6708,(X),(X),2022,0.011368698914268062,aircraft mechanics and service technicians,49-3011.00,Aircraft Mechanics and Service Technicians,49-3011,Aircraft Mechanics and Service Technicians,aircraft mechanics and service technicians
Automotive body and related repairers,106672,5947.0,104152,5842.0,2520,1190.0,2.4,1.1,52353,1162,52575,1120,33088,20761,(X),(X),2022,0.00508594377133952,automotive body and related repairers,49-3021.00,Automotive Body and Related Repairers,49-3021,Automotive Body and Related Repairers,automotive body and related repairers
Automotive glass installers and repairers,17953,2703.0,17408,2683.0,545,411.0,3.0,2.3,41711,2851,42145,3834,34300,3611,(X),(X),2022,0.001099936252134936,automotive glass installers and repairers,49-3022.00,Automotive Glass Installers and Repairers,49-3022,Automotive Glass Installers and Repairers,automotive glass installers and repairers
Automotive service technicians and mechanics,722935,17151.0,711420,16935.0,11515,2017.0,1.6,0.3,46828,841,46875,821,43097,6127,91.9,12.6,2022,0.023239937510704196,automotive service technicians and mechanics,49-3023.00,Automotive Service Technicians and Mechanics,49-3023,Automotive Service Technicians and Mechanics,automotive service technicians and mechanics
Bus and truck mechanics and diesel engine specialists,276338,9936.0,273305,9709.0,3033,1044.0,1.1,0.4,55588,1220,55837,1244,41547,4570,(X),(X),2022,0.006121296610505065,bus and truck mechanics and diesel engine specialists,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,bus and truck mechanics and diesel engine specialists
Heavy vehicle and mobile equipment service technicians and mechanics,190160,8380.0,187951,8415.0,2209,797.0,1.2,0.4,61531,1254,61809,1256,35116,8464,(X),(X),2022,0.004458273726543254,heavy vehicle and mobile equipment service technicians and mechanics,,,,,
Small engine mechanics,33219,3942.0,32683,3909.0,536,489.0,1.6,1.5,44166,3204,43833,3104,60846,6507,(X),(X),2022,0.001081772167237295,small engine mechanics,,,,,
Miscellaneous vehicle and mobile equipment mechanics installers and repairers,68875,5428.0,66032,5345.0,2843,1059.0,4.1,1.5,36325,946,36218,1056,37124,13946,(X),(X),2022,0.005737832595999308,miscellaneous vehicle and mobile equipment mechanics installers and repairers,,,,,
Control and valve installers and repairers,25716,3345.0,24244,3279.0,1472,669.0,5.7,2.6,59300,5314,59849,5811,50414,9625,(X),(X),2022,0.0029708369965919736,control and valve installers and repairers,,,,,
Heating air conditioning and refrigeration mechanics and installers,400426,11736.0,395599,11547.0,4827,1251.0,1.2,0.3,53619,948,53686,952,41929,9870,(X),(X),2022,0.009742004200101533,heating air conditioning and refrigeration mechanics and installers,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",heating air conditioning and refrigeration mechanics and installers
Home appliance repairers,31862,3475.0,30211,3321.0,1651,822.0,5.2,2.5,47152,4000,46240,4226,51113,7578,(X),(X),2022,0.0033321004628895034,home appliance repairers,49-9031.00,Home Appliance Repairers,49-9031,Home Appliance Repairers,home appliance repairers
Industrial and refractory machinery mechanics,303656,10399.0,291173,9885.0,12483,2346.0,4.1,0.7,61964,990,62445,1038,51370,1919,82.3,3.3,2022,0.02519358575302827,industrial machinery mechanics,49-9041.00,Industrial Machinery Mechanics,49-9041,Industrial Machinery Mechanics,industrial machinery mechanics
Maintenance and repair workers general,648016,14238.0,622312,13277.0,25704,3156.0,4.0,0.5,52655,539,53041,581,40931,2349,77.2,4.6,2022,0.051876626467663105,maintenance and repair workers general,49-9071.00,"Maintenance and Repair Workers, General",49-9071,"Maintenance and Repair Workers, General",maintenance and repair workers general
Maintenance workers machinery,21502,2575.0,21079,2534.0,423,306.0,2.0,1.4,60444,5303,59828,5409,73073,14298,(X),(X),2022,0.0008537119901891338,maintenance workers machinery,49-9043.00,"Maintenance Workers, Machinery",49-9043,"Maintenance Workers, Machinery",maintenance workers machinery
Millwrights,40213,3492.0,39088,3320.0,1125,733.0,2.8,1.8,74239,3252,74766,3440,62763,20256,(X),(X),2022,0.0022705106122051432,millwrights,49-9044.00,Millwrights,49-9044,Millwrights,millwrights
Electrical powerline installers and repairers,119941,7032.0,115252,6639.0,4689,1618.0,3.9,1.3,88826,4346,90177,4052,48409,16181,(X),(X),2022,0.009463488231671036,electrical powerline installers and repairers,49-9051.00,Electrical Power-Line Installers and Repairers,49-9051,Electrical Power-Line Installers and Repairers,electrical powerline installers and repairers
Telecommunications line installers and repairers,99840,6627.0,96640,6624.0,3200,1280.0,3.2,1.3,62675,1839,62919,1834,57167,10009,(X),(X),2022,0.0064583412969390725,telecommunications line installers and repairers,49-9052.00,Telecommunications Line Installers and Repairers,49-9052,Telecommunications Line Installers and Repairers,telecommunications line installers and repairers
Precision instrument and equipment repairers,56025,4167.0,49890,3897.0,6135,1412.0,11.0,2.4,60462,2921,62192,2543,46099,2273,(X),(X),2022,0.01238185120522538,precision instrument and equipment repairers,,,,,
Wind turbine service technicians,5511,1395.0,5503,1400.0,8,17.0,0.1,0.3,72289,9782,72221,9815,-,**,-,**,2022,1.6145853242347682e-05,wind turbine service technicians,49-9081.00,Wind Turbine Service Technicians,49-9081,Wind Turbine Service Technicians,wind turbine service technicians
Coin vending and amusement machine servicers and repairers,22030,3583.0,20364,3477.0,1666,629.0,7.6,2.8,41290,3018,41975,3348,32476,5728,(X),(X),2022,0.0033623739377189052,coin vending and amusement machine servicers and repairers,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",coin vending and amusement machine servicers and repairers
Commercial divers,2148,584.0,1804,499.0,344,333.0,16.0,13.6,55321,18590,55705,16613,31786,86998,(X),(X),2022,0.0006942716894209503,commercial divers,49-9092.00,Commercial Divers,49-9092,Commercial Divers,commercial divers
Locksmiths and safe repairers,22207,2478.0,21430,2463.0,777,494.0,3.5,2.2,48619,3329,49108,3420,32015,20720,(X),(X),2022,0.0015681659961630187,locksmiths and safe repairers,49-9094.00,Locksmiths and Safe Repairers,49-9094,Locksmiths and Safe Repairers,locksmiths and safe repairers
Manufactured building and mobile home installers,2183,867.0,2183,867.0,0,210.0,0.0,8.0,29301,21648,29301,21648,-,**,-,**,2022,0.0,manufactured building and mobile home installers,49-9095.00,Manufactured Building and Mobile Home Installers,49-9095,Manufactured Building and Mobile Home Installers,manufactured building and mobile home installers
Riggers,9818,2018.0,9153,2047.0,665,625.0,6.8,6.4,60975,3460,61090,4024,59729,66817,(X),(X),2022,0.0013421240507701512,riggers,49-9096.00,Riggers,49-9096,Riggers,riggers
Helpersinstallation maintenance and repair workers,13927,2043.0,12948,2012.0,979,534.0,7.0,3.8,36476,1489,36851,2820,35151,6379,(X),(X),2022,0.0019758487905322977,helpersinstallation maintenance and repair workers,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",49-9098,"Helpers--Installation, Maintenance, and Repair Workers",helpersinstallation maintenance and repair workers
Other installation maintenance and repair workers,148367,7854.0,141211,7780.0,7156,1586.0,4.8,1.1,46377,1133,46755,1172,39800,5394,85.1,11.9,2022,0.014442465725280003,other installation maintenance and repair workers,,,,,
Production Transportation and Material Moving Occupations,15350829,79638.0,12001494,69130.0,3349335,38138.0,21.8,0.2,43376,145,46944,163,35409,180,75.4,0.5,2022,6.759733921182322,production transportation and material moving occupations,,,,,
Production Occupations,7019626,59152.0,5178333,50708.0,1841293,26596.0,26.2,0.3,45073,209,49667,260,36546,191,73.6,0.5,2022,3.7161558192702615,production occupations,,,,,
Firstline supervisors of production and operating workers,735946,15809.0,579940,15090.0,156006,6622.0,21.2,0.9,62739,580,65965,894,48658,1724,73.8,2.6,2022,0.31485624761571157,firstline supervisors of production and operating workers,51-1011.00,First-Line Supervisors of Production and Operating Workers,51-1011,First-Line Supervisors of Production and Operating Workers,firstline supervisors of production and operating workers
Aircraft structure surfaces rigging and systems assemblers,4007,1131.0,3203,1006.0,804,422.0,20.1,9.4,59706,6742,62619,8973,54013,15054,(X),(X),2022,0.001622658250855942,aircraft structure surfaces rigging and systems assemblers,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",aircraft structure surfaces rigging and systems assemblers
Electrical electronics and electromechanical assemblers,96346,5701.0,54745,3912.0,41601,3590.0,43.2,2.5,38938,1368,41395,1054,35661,1166,86.1,3.5,2022,0.08396045509186324,electrical electronics and electromechanical assemblers,,,,,
Engine and other machine assemblers,10146,1923.0,8751,1748.0,1395,870.0,13.7,7.8,51877,3710,53557,2519,37116,7974,(X),(X),2022,0.002815433159134377,engine and other machine assemblers,51-2031.00,Engine and Other Machine Assemblers,51-2031,Engine and Other Machine Assemblers,engine and other machine assemblers
Structural metal fabricators and fitters,21472,3282.0,20922,3267.0,550,308.0,2.6,1.5,49442,3449,49713,3615,45714,9127,(X),(X),2022,0.0011100274104114032,structural metal fabricators and fitters,51-2041.00,Structural Metal Fabricators and Fitters,51-2041,Structural Metal Fabricators and Fitters,structural metal fabricators and fitters
Other assemblers and fabricators,816433,15237.0,533770,10887.0,282663,10090.0,34.6,0.9,40703,331,42361,507,37117,506,87.6,1.6,2022,0.5704794143802154,other assemblers and fabricators,,,,,
Bakers,134647,8609.0,57707,5497.0,76940,5786.0,57.1,2.7,32795,795,35590,1178,31289,585,87.9,3.5,2022,0.15528274355827884,bakers,51-3011.00,Bakers,51-3011,Bakers,bakers
Butchers and other meat poultry and fish processing workers,200321,8358.0,158504,6870.0,41817,4150.0,20.9,1.7,39117,1264,40790,789,34280,1522,84,4.1,2022,0.08439639312940664,butchers and other meat poultry and fish processing workers,,,,,
Food and tobacco roasting baking and drying machine operators and tenders,8229,1774.0,6412,1609.0,1817,709.0,22.1,8.0,43297,2402,44237,3798,37050,15702,(X),(X),2022,0.003667126917668217,food and tobacco roasting baking and drying machine operators and tenders,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",food and tobacco roasting baking and drying machine operators and tenders
Food batchmakers,56430,3953.0,23470,2789.0,32960,3400.0,58.4,4.2,35818,1313,43270,2513,32834,1225,75.9,5.2,2022,0.06652091535847245,food batchmakers,51-3092.00,Food Batchmakers,51-3092,Food Batchmakers,food batchmakers
Food cooking machine operators and tenders,8281,1770.0,6287,1661.0,1994,757.0,24.1,8.8,31686,4843,34354,9952,28413,7512,(X),(X),2022,0.00402435392065516,food cooking machine operators and tenders,51-3093.00,Food Cooking Machine Operators and Tenders,51-3093,Food Cooking Machine Operators and Tenders,food cooking machine operators and tenders
Food processing workers all other,120047,6881.0,82733,4781.0,37314,4035.0,31.1,2.4,42152,1169,45556,1532,37864,1358,83.1,4,2022,0.07530829598562018,food processing workers all other,51-3099.00,"Food Processing Workers, All Other",51-3099,"Food Processing Workers, All Other",food processing workers all other
Computer numerically controlled tool operators and programmers,80888,5493.0,72739,5674.0,8149,1887.0,10.1,2.4,51809,1054,52676,1281,40620,5634,77.1,11.4,2022,0.01644656975898641,computer numerically controlled tool operators and programmers,,,,,
Forming machine setters operators and tenders metal and plastic,25866,3132.0,22125,2841.0,3741,1216.0,14.5,4.3,47960,1311,48488,1400,43043,7956,(X),(X),2022,0.007550204622452835,forming machine setters operators and tenders metal and plastic,,,,,
Cutting punching and press machine setters operators and tenders metal and plastic,53903,4268.0,45834,3879.0,8069,1402.0,15.0,2.4,41869,1145,43473,1751,34254,2549,78.8,6.6,2022,0.016285111226562933,cutting punching and press machine setters operators and tenders metal and plastic,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",cutting punching and press machine setters operators and tenders metal and plastic
Grinding lapping polishing and buffing machine tool setters operators and tenders metal and plastic,33725,3077.0,30152,2943.0,3573,1025.0,10.6,2.9,41493,1571,42074,2049,31515,10473,(X),(X),2022,0.007211141704363534,grinding lapping polishing and buffing machine tool setters operators and tenders metal and plastic,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",grinding lapping polishing and buffing machine tool setters operators and tenders metal and plastic
Other machine tool setters operators and tenders metal and plastic,7862,1707.0,6916,1618.0,946,485.0,12.0,5.9,43667,4648,45460,3520,32669,6091,(X),(X),2022,0.0019092471459076134,machine tool cutting setters operators and tenders metal and plastic,,,,,
Machinists,315087,10217.0,301770,9854.0,13317,2050.0,4.2,0.6,54272,688,54838,814,36639,1630,66.8,3.3,2022,0.02687679095354301,machinists,51-4041.00,Machinists,51-4041,Machinists,machinists
Metal furnace operators tenders pourers and casters,19486,2413.0,17235,2156.0,2251,890.0,11.6,4.2,54965,2696,56395,2926,41226,3581,(X),(X),2022,0.004543039456065579,metal furnace operators tenders pourers and casters,,,,,
Model makers and patternmakers metal and plastic,2718,837.0,1987,682.0,731,447.0,26.9,13.2,52818,6000,56145,5088,35517,15270,(X),(X),2022,0.0014753273400195197,model makers and patternmakers metal and plastic,,,,,
Molders and molding machine setters operators and tenders metal and plastic,29005,2978.0,24975,2679.0,4030,1049.0,13.9,3.3,44009,2559,47414,4530,36238,2034,(X),(X),2022,0.008133473570832645,molders and molding machine setters operators and tenders metal and plastic,,,,,
Tool and die makers,45164,3687.0,43946,3548.0,1218,631.0,2.7,1.3,64908,2628,65516,2870,38423,2760,(X),(X),2022,0.002458206156147435,tool and die makers,51-4111.00,Tool and Die Makers,51-4111,Tool and Die Makers,tool and die makers
Welding soldering and brazing workers,483309,13438.0,457887,13389.0,25422,3781.0,5.3,0.8,48612,818,49245,833,40787,1384,82.8,2.9,2022,0.05130748514087035,welding soldering and brazing workers,,,,,
Other metal workers and plastic workers,341444,14063.0,269488,12148.0,71956,5453.0,21.1,1.4,43225,941,45769,914,37372,1079,81.7,3.1,2022,0.14522387698829622,other metal workers and plastic workers,,,,,
Prepress technicians and workers,14515,2089.0,9144,1586.0,5371,1177.0,37.0,6.2,48152,3934,51066,6737,44088,7562,(X),(X),2022,0.010839922220581175,prepress technicians and workers,51-5111.00,Prepress Technicians and Workers,51-5111,Prepress Technicians and Workers,prepress technicians and workers
Printing press operators,105703,5939.0,84789,5407.0,20914,2520.0,19.8,2.2,43036,1284,45656,1728,31649,1394,69.3,4.1,2022,0.042209296838807434,printing press operators,51-5112.00,Printing Press Operators,51-5112,Printing Press Operators,printing press operators
Print binding and finishing workers,6660,1221.0,4757,1151.0,1903,610.0,28.6,8.7,41475,1890,43740,4565,35741,4117,(X),(X),2022,0.0038406948400234553,print binding and finishing workers,51-5113.00,Print Binding and Finishing Workers,51-5113,Print Binding and Finishing Workers,print binding and finishing workers
Laundry and drycleaning workers,78035,5463.0,27874,3736.0,50161,3756.0,64.3,3.4,28776,1659,31965,1460,26862,1084,84,5.1,2022,0.10123651806117527,laundry and drycleaning workers,51-6011.00,Laundry and Dry-Cleaning Workers,51-6011,Laundry and Dry-Cleaning Workers,laundry and drycleaning workers
Pressers textile garment and related materials,17013,2354.0,9899,1658.0,7114,1440.0,41.8,5.9,32397,3301,43983,3607,28988,2859,(X),(X),2022,0.014357699995757678,pressers textile garment and related materials,51-6021.00,"Pressers, Textile, Garment, and Related Materials",51-6021,"Pressers, Textile, Garment, and Related Materials",pressers textile garment and related materials
Sewing machine operators,85647,5881.0,26944,3188.0,58703,4628.0,68.5,2.9,32220,590,33081,2529,31883,672,96.4,7.2,2022,0.118476252860692,sewing machine operators,51-6031.00,Sewing Machine Operators,51-6031,Sewing Machine Operators,sewing machine operators
Shoe and leather workers,8768,1669.0,5304,1074.0,3464,1184.0,39.5,9.1,32068,3924,37157,6874,26817,5013,(X),(X),2022,0.006991154453936547,shoe and leather workers,,,,,
Tailors dressmakers and sewers,33832,2999.0,11414,2049.0,22418,2415.0,66.3,4.9,36183,1498,39733,5663,35415,1792,89.1,14.1,2022,0.045244717248368795,tailors dressmakers and sewers,,,,,
Textile machine setters operators and tenders,12713,1855.0,7113,1632.0,5600,1416.0,44.0,9.6,32399,2188,35208,5535,31595,3519,(X),(X),2022,0.01130209726964338,textile machine setters operators and tenders,,,,,
Upholsterers,22471,2889.0,17246,2528.0,5225,1493.0,23.3,5.8,36638,1762,38922,2583,30689,2118,(X),(X),2022,0.01054526039890833,upholsterers,51-6093.00,Upholsterers,51-6093,Upholsterers,upholsterers
Other textile apparel and furnishings workers,13376,2330.0,8310,1872.0,5066,1437.0,37.9,8.9,43727,4296,48996,10459,42610,12430,(X),(X),2022,0.010224361565716671,other textile apparel and furnishings workers,,,,,
Cabinetmakers and bench carpenters,41548,3886.0,38369,3632.0,3179,1008.0,7.7,2.3,42935,1873,44099,2152,27887,6203,(X),(X),2022,0.006415958432177911,cabinetmakers and bench carpenters,51-7011.00,Cabinetmakers and Bench Carpenters,51-7011,Cabinetmakers and Bench Carpenters,cabinetmakers and bench carpenters
Furniture finishers,8729,2120.0,7589,2019.0,1140,718.0,13.1,7.9,42069,2472,42474,8517,38378,13432,(X),(X),2022,0.0023007840870345447,furniture finishers,51-7021.00,Furniture Finishers,51-7021,Furniture Finishers,furniture finishers
Sawing machine setters operators and tenders wood,19186,2151.0,17694,2038.0,1492,745.0,7.8,3.7,37929,2928,37408,3217,41195,6873,(X),(X),2022,0.0030112016296978427,sawing machine setters operators and tenders wood,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood",51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",sawing machine setters operators and tenders wood
Woodworking machine setters operators and tenders except sawing,14345,2333.0,11652,1981.0,2693,803.0,18.8,4.6,38192,3596,39039,4184,35965,6643,(X),(X),2022,0.005435097847705289,woodworking machine setters operators and tenders except sawing,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",woodworking machine setters operators and tenders except sawing
Other woodworkers,26885,3106.0,24208,3002.0,2677,995.0,10.0,3.6,42217,2283,42096,2154,44425,15247,(X),(X),2022,0.005402806141220593,other woodworkers,,,,,
Power plant operators distributors and dispatchers,47767,4449.0,44032,4309.0,3735,950.0,7.8,1.9,106644,3943,106570,3813,113352,25552,(X),(X),2022,0.007538095232521074,power plant operators distributors and dispatchers,,,,,
Stationary engineers and boiler operators,85146,5253.0,82263,5235.0,2883,946.0,3.4,1.1,71639,2771,71955,2869,67368,6761,(X),(X),2022,0.005818561862211046,stationary engineers and boiler operators,51-8021.00,Stationary Engineers and Boiler Operators,51-8021,Stationary Engineers and Boiler Operators,stationary engineers and boiler operators
Water and wastewater treatment plant and system operators,94097,5157.0,90559,5174.0,3538,890.0,3.8,1.0,58267,2461,58264,2533,58317,5760,(X),(X),2022,0.007140503596428263,water and wastewater treatment plant and system operators,51-8031.00,Water and Wastewater Treatment Plant and System Operators,51-8031,Water and Wastewater Treatment Plant and System Operators,water and wastewater treatment plant and system operators
Miscellaneous plant and system operators,41358,4075.0,38644,3994.0,2714,932.0,6.6,2.2,85093,5427,83978,5498,90059,11292,(X),(X),2022,0.005477480712466451,miscellaneous plant and system operators,,,,,
Chemical processing machine setters operators and tenders,71451,5746.0,62159,5490.0,9292,1472.0,13.0,2.0,57561,2838,59017,1911,42215,4251,71.5,8,2022,0.018753408540986834,chemical processing machine setters operators and tenders,,,,,
